tic,analytics,innovation,technology,company
ABT,1,1,1,abbott
ABBV,0,1,1,abbvie
EURX,1,1,1,aercap holdings n.v.
AES,1,1,1,aes corp.
AEMD,1,1,0,aethlon medical inc.
ADC,0,1,0,agree realty corporation
ACRN,1,1,0,air products
ALG,1,0,1,alamo group inc.
ALK,0,1,1,alaska air group
ARE,0,1,1,alexandria real estate equities inc.
ALLY,1,1,1,ally financial
ALTR,1,1,1,altair
AYX,1,0,1,alteryx inc.
AEE,0,1,1,ameren missouri
AEP,1,1,1,american electric power
AME,1,1,0,ametek inc.
AMGN,0,1,1,amgen
AMAG,0,1,1,ampio pharmaceuticals inc.
ATEX,1,1,0,anterix inc.
AR,1,0,1,antero resources corporation
AON,1,1,0,aon plc
ASC,1,1,0,ardmore shipping corporation
ARLO,1,1,1,arlo technologies inc.
AJG,0,0,1,arthur j. gallagher  co.
ASPN,1,1,1,aspen aerogels inc.
ACST,0,1,1,astellas pharma inc.
QGOG,0,1,1,atento s.a.
ATCX,0,1,1,atlas corp.
ALV,1,1,0,autoliv
AN,0,1,1,autonation inc.
AVNS,0,1,0,avanos medical inc.
AXTA,0,1,1,axalta coating systems ltd.
AZRE,0,1,1,azure power
LMIA,1,1,0,ball aerospace
BLDP,0,1,1,ballard power systems inc.
BALY,0,1,1,ballys corporation
BLX,0,1,1,banco latinoamericano de comercio exterior s.a. bladex
BAC,0,1,1,bank of america corporation
BDX,1,1,1,bd becton dickinson and company
BBBY,1,1,0,bed bath  beyond
BELM,1,1,1,bell canada
BHE,1,1,1,benchmark electronics inc.
BHIL,1,1,0,benson hill
BGRH,0,1,0,berger montague
BBY,0,1,1,best inc.
BGCP,1,1,1,bgc partners inc.
BIG,0,1,0,big lots inc.
BH,0,1,0,biglari holdings inc.
BHVN,1,1,1,biohaven pharmaceutical holding company ltd.
BKI,1,1,1,black knight inc.
BL,0,1,1,blackline
AMBC,1,0,1,bmo financial group
BA,0,1,1,boeing
BSX,0,1,0,boston scientific corporation
BHR,1,1,0,braemar hotels  resorts inc.
BCLI,1,1,1,brainstorm cell therapeutics inc.
BKD,1,0,1,brookdale senior living inc.
CAE,0,1,1,cae inc.
CZR,1,0,0,caesars entertainment inc.
ELY,1,1,0,callaway golf company
CP,1,0,1,canadian pacific
CSIQ,1,0,1,canadian solar inc.
CRNS,1,1,0,canon u.s.a. inc.
COF,1,1,1,capital one financial corporation
CTT,1,1,1,catchmark timber trust inc.
CAT,1,1,1,caterpillar inc.
CDR,1,1,1,cedar realty trust inc.
CNP,1,0,1,centerpoint energy inc.
GIB,1,0,1,cgi inc.
CMCM,0,1,1,cheetah mobile
CHK,0,1,1,chesapeake energy corporation
CHNR,0,1,1,china natural resources inc.
CYD,1,1,0,china yuchai international limited
CMG,0,1,0,chipotle mexican grill
CHH,1,1,0,choice hotels international inc.
CB,0,1,0,chubb
CSCO,1,0,1,cisco systems inc.
CIA,1,1,0,citizens inc.
CCO,1,1,0,clear channel outdoor
BROG,0,0,1,cms energy
CNX,0,1,1,cnx resources corporation
CNS,0,1,1,cohen  steers
DHC,1,1,0,community healthcare trust inc.
CAG,0,1,1,conagra brands inc.
AMEH,1,1,0,concord medical services holdings limited
CEIX,1,1,0,consol energy inc.
CLR,1,1,1,continental resources
CPRT,1,0,1,copart inc.
CBRL,1,1,1,cracker barrel old country store inc.
CRGY,1,1,1,crescent point energy corp.
CROX,0,1,0,crocs inc.
CCK,1,1,1,crown holdings inc.
CRWS,0,1,1,crown royal
HLTH,1,1,1,cue health inc.
VALU,1,1,1,cunard line
AXLA,1,0,1,cvs health
CVS,0,1,1,cvs health corporation
DAN,1,1,1,dana incorporated
DQ,1,1,1,daqo new energy corp.
DRI,1,1,0,darden restaurants inc. general
DAR,0,1,1,darling ingredients inc.
LLGX,0,1,1,delek logistics
DELL,1,1,1,dell technologies
DAL,1,1,0,delta air lines
DHX,1,1,0,dhi group inc.
DKS,0,1,1,dicks sporting goods
DLR,1,1,1,digital realty
DISH,1,1,0,dish network corporation
DOCU,1,1,1,docusign inc.
DPZ,1,0,1,dominos pizza inc.
DASH,0,1,1,doordash
LPG,1,1,1,dorian lpg ltd.
DOV,1,1,0,dover
DUK,1,1,0,duke energy
DPMI,1,1,0,dupont
DVAX,0,1,1,dynavax technologies
EAST,0,1,0,eastside distilling inc.
EW,1,0,1,edwards lifesciences corporation
ESRT,0,1,0,empire state realty trust inc.
ENR,0,1,0,energizer holdings inc.
ENLC,0,1,1,enlink midstream llc
ENVA,1,1,1,enova international inc.
ENV,1,1,0,envestnet inc.
NVST,1,1,0,envista holdings corporation
EOG,0,1,1,eog resources inc.
EQT,1,1,1,eqt corporation
EFX,1,0,0,equifax inc.
EQIX,1,1,0,equinix inc.
ERIE,1,1,0,erie indemnity company
EPIX,1,1,1,essa pharma inc
EVH,1,1,0,evolent health
EXR,0,1,0,extra space storage inc.
FARM,1,1,1,farmer mac
FTHM,1,0,1,fathom events
FRT,1,0,0,federal realty investment trust
FSS,1,1,0,federal signal corporation
FNF,1,0,0,fidelity national financial inc.
ACOM,1,1,0,financialnewsmedia.com
FFIN,1,1,0,first financial bankshares inc.
FE,1,1,0,firstenergy corp.
FBC,0,1,0,flagstar bancorp inc.
FTK,1,1,0,flotek industries inc.
FL,1,1,1,foot locker inc.
FTFT,1,1,1,future fintech group inc.
WILC,0,1,1,g. willi__food international ltd.
GLMD,1,1,0,galmed pharmaceuticals ltd.
GTES,0,1,1,gates
G,1,1,0,genpact
GPC,0,1,1,genuine parts company
DNA,0,1,0,ginkgo bioworks
GSMG,1,1,0,glory star new media group holdings limited
GDDY,0,1,1,godaddy inc.
GOGO,0,1,1,gogo inc.
GPRO,0,1,1,gopro inc.
GEF,0,1,1,greif inc.
GTBP,0,0,1,gt biopharma inc.
HBB,0,0,1,hamilton beach brands holding company
HA,0,1,1,hawaiian holdings inc.
HTA,0,1,0,healthcare trust of america inc.
PEAK,1,1,1,healthpeak properties inc.
HSII,1,1,0,heidrick  struggles international inc.
HRTG,1,1,0,heritage insurance holdings inc.
HSKA,0,1,0,heska corporation
HMLP,1,0,1,hoegh lng partners lp
HON,0,1,1,honeywell
HRL,0,1,1,hormel foods corporation
HMHC,1,1,0,houghton mifflin harcourt
HNP,1,0,1,huaneng power international inc.
HUBS,1,1,1,hubspot
HUN,1,1,1,huntsman corporation
HUT,0,1,1,hut 8 mining corp
HYMC,0,1,0,hycroft mining holding corporation
HY,1,1,0,hyster__yale materials handling inc.
IAC,1,1,0,iac
ILMN,0,1,0,illumina inc.
ICD,0,1,1,independence contract drilling inc.
INST,0,1,1,instructure
IP,0,1,0,international paper
