vid,actor_action_label,start_time,end_time,height,width,num_frames,num_labeled_frames,split_no,split,fids
--h5fAKYurM,43,00:00:00,00:00:06,320,568,181,3,0,train,00030;;;00060;;;00090
-0cOo0cRVZU,34,00:00:00,00:00:08,320,426,241,3,0,train,00040;;;00080;;;00120
-1L1Fm8QaK4,11,00:00:41,00:00:45,320,566,100,3,0,train,00016;;;00032;;;00048
-2GEt8vi2RA,54,00:01:13,00:01:16,320,568,75,5,0,train,00012;;;00024;;;00036;;;00048;;;00060
-2akYw9VucA,54,00:01:42,00:01:45,320,568,72,5,0,train,00012;;;00024;;;00036;;;00048;;;00060
-2vO7IbjuSE,67,00:00:24,00:00:32,320,568,192,3,0,train,00032;;;00064;;;00096
-4CdF084nIs,67,00:00:55,00:01:03,320,720,240,5,0,train,00040;;;00080;;;00120;;;00160;;;00200
-4K2hHSl7s4,35,00:00:05,00:00:11,320,568,180,3,0,train,00030;;;00060;;;00090
-54J_vTufjw,48,00:00:46,00:00:54,320,480,240,3,0,train,00040;;;00080;;;00120
-5Ilq3kFxek,65,00:00:06,00:00:11,320,426,125,5,0,train,00020;;;00040;;;00060;;;00080;;;00100
-5bfNwGsWZA,44,00:00:22,00:00:27,320,426,150,5,0,train,00025;;;00050;;;00075;;;00100;;;00125
-5lbSzOSfz8,68,00:00:14,00:00:22,320,426,201,3,0,train,00033;;;00066;;;00099
-7AwCPcgrzA,73,00:01:14,00:01:19,320,568,151,5,0,train,00025;;;00050;;;00075;;;00100;;;00125
-7e9bizUyHg,45,00:00:10,00:00:14,320,426,120,3,0,train,00020;;;00040;;;00060
-8FLF-osZmA,34,00:01:33,00:01:41,320,580,240,3,0,train,00040;;;00080;;;00120
-8sY4FHSq7g,77,00:00:11,00:00:17,320,426,150,3,0,train,00025;;;00050;;;00075
-An-2j9snuc,76,00:00:04,00:00:12,320,568,240,3,0,train,00040;;;00080;;;00120
-Bo3qO_HkEQ,26,00:00:26,00:00:30,320,426,40,3,0,train,00006;;;00012;;;00018
-CzttfT_7uM,66,00:00:46,00:00:54,320,568,240,3,0,train,00040;;;00080;;;00120
-HpFtQGQ7l8,66,00:00:10,00:00:20,320,568,300,3,0,train,00050;;;00100;;;00150
-J7SggJdfJA,65,00:00:52,00:00:55,320,426,90,3,0,train,00015;;;00030;;;00045
-K_YK2Ct5f8,73,00:00:44,00:00:49,320,426,126,3,0,train,00021;;;00042;;;00063
-MYguBhCWSM,16,00:00:02,00:00:05,320,568,90,3,0,train,00015;;;00030;;;00045
-QSOuKmwbeo,44,00:04:07,00:04:11,320,426,120,3,0,train,00020;;;00040;;;00060
-RTVlR5FrHw,18,00:00:19,00:00:22,320,568,72,3,0,train,00012;;;00024;;;00036
-TeTejh1ebs,11,00:03:55,00:04:01,320,568,150,3,0,train,00025;;;00050;;;00075
-UQLalti9dI,16,00:00:35,00:00:38,320,428,90,3,0,train,00015;;;00030;;;00045
-VqyimSxbpg,48,00:01:44,00:01:52,320,426,241,3,0,train,00040;;;00080;;;00120
-WXtonEw8-0,46,00:00:40,00:00:44,320,568,48,3,0,train,00008;;;00016;;;00024
-XgH1VvAKcA,45,00:00:19,00:00:28,320,426,225,3,0,train,00037;;;00074;;;00111
-YAVP7JseLQ,77,00:00:12,00:00:16,320,568,121,5,0,train,00020;;;00040;;;00060;;;00080;;;00100
-YM5_oSdP1c,66,00:01:10,00:01:13,320,568,90,3,0,train,00015;;;00030;;;00045
-ZG23ZWRtuM,28,00:00:33,00:00:36,320,568,90,3,0,train,00015;;;00030;;;00045
-aN1E545q_Q,12,00:00:06,00:00:10,320,568,120,3,0,train,00020;;;00040;;;00060
-d8EYyveK_E,78,00:00:00,00:00:08,320,568,241,3,0,train,00040;;;00080;;;00120
-dP_5L19sdc,12,00:00:14,00:00:19,320,568,151,5,0,train,00025;;;00050;;;00075;;;00100;;;00125
-fZzPnx706g,77,00:00:23,00:00:26,320,564,90,3,0,train,00015;;;00030;;;00045
-g-zmU_D-e8,61,00:01:29,00:01:33,320,568,121,3,0,train,00020;;;00040;;;00060
-gLdLiByqTY,21,00:00:22,00:00:29,320,568,210,5,0,train,00035;;;00070;;;00105;;;00140;;;00175
-guBVgQsnWs,44,00:00:07,00:00:11,320,568,120,3,0,train,00020;;;00040;;;00060
-jR_xfZwFNM,17,00:00:24,00:00:26,320,400,50,3,0,train,00008;;;00016;;;00024
-lF5o3IOBm0,57,00:00:17,00:00:20,320,568,90,3,0,train,00015;;;00030;;;00045
-or3GptmdFI,16,00:00:52,00:00:55,320,568,72,3,0,train,00012;;;00024;;;00036
-qgEE3uxVp0,72,00:02:21,00:02:24,320,572,90,3,0,train,00015;;;00030;;;00045
-rr80jAfErA,56,00:00:40,00:00:43,320,426,75,3,0,train,00012;;;00024;;;00036
-sPo-af9vKk,21,00:00:10,00:00:16,320,568,180,3,0,train,00030;;;00060;;;00090
-vKye57piuk,41,00:00:03,00:00:09,320,568,180,5,0,train,00030;;;00060;;;00090;;;00120;;;00150
-vQ2Q2_knC0,18,00:01:38,00:01:40,320,568,48,3,0,train,00008;;;00016;;;00024
-vaUNnR9V_g,75,00:00:24,00:00:29,320,568,150,3,0,train,00025;;;00050;;;00075
-w_AoYHLkb8,63,00:00:01,00:00:05,320,568,120,3,0,train,00020;;;00040;;;00060
-xrM_VI77UQ,55,00:00:11,00:00:17,320,568,150,3,0,train,00025;;;00050;;;00075
02WkK5o25ws,34,00:00:08,00:00:14,320,568,180,3,0,train,00030;;;00060;;;00090
06Wrbztspa4,65,00:01:36,00:01:38,320,426,60,5,0,train,00010;;;00020;;;00030;;;00040;;;00050
07qn-A4ENo8,26,00:00:20,00:00:27,320,426,210,5,0,train,00035;;;00070;;;00105;;;00140;;;00175
08DluNtGnUY,46,00:00:14,00:00:17,320,426,91,3,0,train,00015;;;00030;;;00045
08x3P2E122U,11,00:06:38,00:06:44,320,568,180,5,0,train,00030;;;00060;;;00090;;;00120;;;00150
0997Fi4HXIY,78,00:01:43,00:01:46,320,568,91,3,0,train,00015;;;00030;;;00045
09jkWVQS4XI,72,00:00:19,00:00:27,320,426,240,3,0,train,00040;;;00080;;;00120
0AyidPC70qw,22,00:00:05,00:00:13,320,426,240,3,0,train,00040;;;00080;;;00120
0B_n_5ei8Ts,66,00:00:01,00:00:06,320,568,125,5,0,train,00020;;;00040;;;00060;;;00080;;;00100
0E_2RKLEE8I,41,00:00:00,00:00:08,320,568,241,3,0,train,00040;;;00080;;;00120
