analytics,innovation,technology,company,tic
1,1,1,abbott,ABT
0,1,1,abbvie,ABBV
1,1,1,aercap holdings n.v.,EURX
1,1,1,aes corp.,AES
1,1,0,aethlon medical inc.,AEMD
0,1,0,agree realty corporation,ADC
1,1,0,air products,ACRN
1,0,1,alamo group inc.,ALG
0,1,1,alaska air group,ALK
0,1,1,alexandria real estate equities inc.,ARE
1,1,1,ally financial,ALLY
1,1,1,altair,ALTR
1,0,1,alteryx inc.,AYX
0,1,1,ameren missouri,AEE
1,1,1,american electric power,AEP
1,1,0,ametek inc.,AME
0,1,1,amgen,AMGN
0,1,1,ampio pharmaceuticals inc.,AMAG
1,1,0,anterix inc.,ATEX
1,0,1,antero resources corporation,AR
1,1,0,aon plc,AON
1,1,0,ardmore shipping corporation,ASC
1,1,1,arlo technologies inc.,ARLO
0,0,1,arthur j. gallagher  co.,AJG
1,1,1,aspen aerogels inc.,ASPN
0,1,1,astellas pharma inc.,ACST
0,1,1,atento s.a.,QGOG
0,1,1,atlas corp.,ATCX
1,1,0,autoliv,ALV
0,1,1,autonation inc.,AN
0,1,0,avanos medical inc.,AVNS
0,1,1,axalta coating systems ltd.,AXTA
0,1,1,azure power,AZRE
1,1,0,ball aerospace,LMIA
0,1,1,ballard power systems inc.,BLDP
0,1,1,ballys corporation,BALY
0,1,1,banco latinoamericano de comercio exterior s.a. bladex,BLX
0,1,1,bank of america corporation,BAC
1,1,1,bd becton dickinson and company,BDX
1,1,0,bed bath  beyond,BBBY
1,1,1,bell canada,BELM
1,1,1,benchmark electronics inc.,BHE
1,1,0,benson hill,BHIL
0,1,0,berger montague,BGRH
0,1,1,best inc.,BBY
1,1,1,bgc partners inc.,BGCP
0,1,0,big lots inc.,BIG
0,1,0,biglari holdings inc.,BH
1,1,1,biohaven pharmaceutical holding company ltd.,BHVN
1,1,1,black knight inc.,BKI
0,1,1,blackline,BL
1,0,1,bmo financial group,AMBC
0,1,1,boeing,BA
0,1,0,boston scientific corporation,BSX
1,1,0,braemar hotels  resorts inc.,BHR
1,1,1,brainstorm cell therapeutics inc.,BCLI
1,0,1,brookdale senior living inc.,BKD
0,1,1,cae inc.,CAE
1,0,0,caesars entertainment inc.,CZR
1,1,0,callaway golf company,ELY
1,0,1,canadian pacific,CP
1,0,1,canadian solar inc.,CSIQ
1,1,0,canon u.s.a. inc.,CRNS
1,1,1,capital one financial corporation,COF
1,1,1,catchmark timber trust inc.,CTT
1,1,1,caterpillar inc.,CAT
1,1,1,cedar realty trust inc.,CDR
1,0,1,centerpoint energy inc.,CNP
1,0,1,cgi inc.,GIB
0,1,1,cheetah mobile,CMCM
0,1,1,chesapeake energy corporation,CHK
0,1,1,china natural resources inc.,CHNR
1,1,0,china yuchai international limited,CYD
0,1,0,chipotle mexican grill,CMG
1,1,0,choice hotels international inc.,CHH
0,1,0,chubb,CB
1,0,1,cisco systems inc.,CSCO
1,1,0,citizens inc.,CIA
1,1,0,clear channel outdoor,CCO
0,0,1,cms energy,BROG
0,1,1,cnx resources corporation,CNX
0,1,1,cohen  steers,CNS
1,1,0,community healthcare trust inc.,DHC
0,1,1,conagra brands inc.,CAG
1,1,0,concord medical services holdings limited,AMEH
1,1,0,consol energy inc.,CEIX
1,1,1,continental resources,CLR
1,0,1,copart inc.,CPRT
1,1,1,cracker barrel old country store inc.,CBRL
1,1,1,crescent point energy corp.,CRGY
0,1,0,crocs inc.,CROX
