company,tic,groundtruth:analytics,example_sent:analytics,start_year:analytics
trimble,TRMB,1,trimble adds analytic tool for determining field profitability in its connected farm solution and introduces new field record keeping app,"20 Jan, 2015"
heidrick  struggles international inc.,HSII,1,"SYNAPP uncovers the relationships that underpin an organization that are not apparent on an organizational chart. The digital application platform, developed as a proprietary solution by Heidrick & Struggles, provides a business with deep insights that can empower its people to strategically improve their performance through strengthening work relationships and improving collaboration.","11 Jul, 2017"
choice hotels international inc.,CHH,1,choice hotels promotes sarah searls to vice president business  analytic services,"15 Feb, 2012"
alteryx inc.,AYX,1,"today introduced new product innovations that deliver the ease-of-use and performance the platform is known for, including Alteryx Analytics Hub, a new product to extend the power and value of the Alteryx APA Platform, and Alteryx Intelligence Suite, a new predictive modeling add-on for Alteryx Designer. Both offerings help fuel rapid digital transformation by delivering on the promise of APA, transforming how businesses leverage their data assets, optimize their processes and upskill talent in a unified, human-centered platform.","16 Jun, 2020"
bny mellon,LEO,1,"Amherst Capital Management LLC, a BNY Mellon investment boutique specializing in real estate, today announced a significant milestone in its analytic capabilities with the formation of its new Research and Analytics team based in the firm's New York office. Joining the firm are three sell-side research analysts with years of experience who will help bring even greater insights and opportunities to Amherst Capital's investors.","27 Jun, 2016"
cognizant,,1,"Cognizant (Nasdaq: CTSH) today announced it has entered into an agreement to acquire Servian, a Sydney, Australia-based, privately-held enterprise transformation consultancy specializing in data analytics, artificial intelligence, digital services, experience design, and cloud.","10 Jan, 2021"
bd becton dickinson and company,BDX,1,"BD (Becton, Dickinson and Company) (NYSE: BDX), a leading global medical technology company, today announced its latest advancement in combating antimicrobial resistance (AMR) with new analytics integrated into the company's connected medication management platform that identifies when an inappropriate and potentially ineffective antibiotic has been prescribed, based on a patient's specific infection diagnosis.","21 Nov, 2019"
oracle,ORCL,1,"Samsung Securities, Korea’s leading financial investment company, has selected Oracle Cloud Infrastructure (OCI) to underpin its digital innovation strategy as the company looks to respond to changes driven by the rise of digital finance in a post-pandemic world.","12, Nov, 2021"
houghton mifflin harcourt,HMHC,1,"By producing a growth measure for each student that is predictive of performance on high stakes tests and, for the first time, deeply connected to instructional resources in the core curriculum, the strategic partnership gives educators more time and support to focus on differentiating instruction.Together, Renaissance assessment tools and HMH curriculum will offer ongoing recommendations for flexible grouping based on areas where students require additional support or have achieved mastery and need new challenges. Additionally, teachers will be able to derive insight from a unified set of data to demonstrate student proficiency of subject matter in the context of state standards.","04 Apr, 2018"
ssc,Tic,1,"SS&C Technologies Holdings, Inc. (Nasdaq: SSNC) today announced it will integrate Sustainalytics' ESG data into SS&C Advent platforms to power portfolio management and analytics workflows for its global client base. Morningstar Sustainalytics is a leading global provider of ESG research, ratings and data.","27 Apr, 2022"
caterpillar inc.,CAT,1,"Marketing and Digital Division, Vice President George Taylor – newly created division that builds on the current Analytics & Innovation Division. Taylor, who has also been named Caterpillar's Chief Marketing Officer, and his team will establish a go-to-market strategy for the integration of data analytics, providing state-of the-art solutions and support for customers and dealers. In addition to the digital transformation of the dealer and customer experience, the division's functions include global brand management, marketing, rental services and retail sales development.","24 Sep, 2015"
blackberry limited,BBRY,1,"BlackBerry Cylance, a business unit of BlackBerry Limited (NYSE:BB: TSX:BB), today announced the introduction of CylancePERSONA, the first proactive endpoint behavioral analytics solution.",5-Mar-19
mgic investment corporation,AGNC,1,"Mortgage Guaranty Insurance Corporation (MGIC), the principal subsidiary of MGIC Investment Corporation (NYSE: MTG), today announced the promotion of Christina Ficks to Vice President – Customer Experience, and Erik Leaver to Vice President – Mortgage Modeling Analytics.","05 May, 2022"
infosys,"INFY, Missing",1,"Infosys (NYSE: INFY), the global leader in next-generation digital services and consulting, today announced that it has been accredited with the Google Cloud Partner Specialization in the data and analytics space. Infosys achieved this recognition by successfully demonstrating end-to-end capabilities on Google Cloud including data ingestion, streaming, querying, exploration, analysis, storage, and warehousing on cloud. Infosys is among the top global system integrators (SI) to be accredited with this specialization.","18 Jan, 2021"
aon plc,AON,1,"Aon Hewitt, the global talent, retirement and health solutions business of Aon plc (NYSE:AON), today launched a new Talent Insight and Analytics solution to help organizations better understand their HR data and adopt fact-based decision-making to create more effective people, compensation and career development strategies.",4-Jun-14
omnicom precision marketing group,OMC,1," Credera, a global boutique consulting firm focused on strategy, innovation, data, and technology, today announced the achievement of the Amazon Web Services Data and Analytics Competency. The designation recognizes that Credera has demonstrated success in helping customers evaluate and use modern tools and best practices for collecting, storing, governing, and analyzing data at any scale.","09 Mar, 2022"
lockheed martin,LMT,1,"Software developers at Lockheed Martin (NYSE: LMT) have designed a platform to make big data analysis easier for developers and non-developers and are open sourcing the project on GitHub, a popular web-based hosting service.","08, Jan, 2015"
sp global market intelligence,"GMC, should be SPGI",1,"Trucost, part of S&P Global, has launched Climate Change Physical Risk analytics, to help investors, companies and governments understand the exposure of businesses' assets to climate change. The launch of the new dataset is especially significant as investors and companies are increasingly considering the effects of global climate change and the risks it poses on companies' future growth.","27 Nov, 2019"
standard  poors,"LAB, should be MHP",1,"S&P Valuation and Risk Strategies today announced the launch of CreditStats Direct for Financial Institutions, a powerful new data and analytics application that provides direct access to credit-adjusted financial data with up to 3-years history for banks rated by S&P. The addition of this credit analysis tool allows market participants to gain in-depth insight into the creditworthiness of over 600 global rated banks.","01 Aug, 2011"
thomson reuters,TRI,1,The new financial institutions offering combines a wide range of S&P analytics and benchmark data in a single research platform. CreditStats Direct for Financial Institutions incorporates line-item-by-line-item financial statement data; side-by-side credit comparison tools for up to 100 entities or aggregates for up to five portfolios; and transparency into the methodologies used by S&P credit analysts to help investors conduct deep-dive analysis of their portfolios.,"01 Jun, 2018"
salesforce,CRM,1,"Salesforce announced Einstein Analytics for Financial Services, a customizable analytics solution that provides AI-augmented business intelligence for wealth advisors, retail bankers and managers.",
clearwater analytics,CWAN,1,"Thousands of client users rely on Clearwater Analytics as their single version of the truth to meet their accounting, regulatory, and financial reporting needs with high accuracy and efficient, timely reporting. Clearwater takes on the operational tasks associated with investment accounting and reporting so that its clients can focus on growing their investment returns. The Q1 product updates include support for the latest accounting and regulatory standards, enriched asset class reporting, and upgraded user experience.","05 May, 2022"
synopsys inc.,SNPS,1,"Synopsys, Inc. (NASDAQ: SNPS) today announced it has acquired Qualtera, a fast-growing provider of collaborative high-performance, big data analytics for semiconductor test and manufacturing. Qualtera's advanced analytics technology, combined with the industry-leading Synopsys Yield Explorer® design-centric yield management solution and Synopsys TestMAX™ test automation solution, provides the foundation for improving the process of using silicon measurements to guide improvements throughout a device's development and manufacturing lifecycle. This unique combination enables a post-silicon optimization solution that is key to maximizing efficiencies from design all the way to device shipment.","10 Jun, 2020"
dell technologies,DELL,1,"Use adaptive analytics, scan metadata and complete files, and implement machine learning and forensic tools to detect, diagnose and speed data recovery.","02 May, 2022"
micro focus,MFGP,1,"Micro Focus (LSE: MCRO; NYSE: MFGP) – today announced the launch of IDOL Law Enforcement Media Analysis, a digital video and image forensics solution for law enforcement and intelligence organizations. Investigators can extract, classify, organize, share results, and index key facts from body cameras, dash cams, CCTV systems, digital documents, in addition to broadcast media, web, social media sources with increasing efficiency while meeting evidential standards. LEMA provides multiple and extendable analytics for Person, Object, Location, and Event (POLE) facts that officers and intelligence agents can interactively validate, providing increased efficiency in processing the evidence in real-time investigations. ","11 Nov, 2021"
marina maher communications,"OMC, missing",1,"NEW YORK, Jan. 26, 2022 /PRNewswire/ -- Today, Marina Maher Communications (MMC) announced the hire of Joshua Wu, PhD., as Senior Vice President, Performance Analytics. Joining MMC from Edelman Data & Intelligence, Wu will report to Chief Strategy Officer Amy Inzanti and is responsible for expanding the agency's robust predictive and performance analytics capabilities. With a future-forward approach to help clients solve their biggest communications challenges, his extensive expertise will drive both MMC and the industry towards an analytics-first mindset in a rapidly evolving digital landscape.MMC is a part of the Omnicom Public Relations Group.
","26 Jan, 2022"
boeing,BA,1,"or the first time at the MRO Americas Conference and Exhibition, Boeing [NYSE: BA] is announcing five new products and services across its services portfolios, all geared towards continuing enhanced digital transformation and MRO value improvement.","10 Apr, 2018"
pratt  whitney,"UTX, missing",1,"Pratt & Whitney, a division of United Technologies Corp. (NYSE: UTX), today announced that it has launched new data analytics capabilities for its V2500 engines as a result of achieving a supplemental type certificate for the Airbus A321 aircraft powered by the V2500 engine.","05 Feb, 2018"
jacobs,"J, missing",1,"Jacobs (NYSE:J) announced today it has acquired StreetLight Data, Inc. (""StreetLight""), a pioneer of mobility analytics who uses its vast data and machine learning resources to shed light on mobility, enabling users to solve complex transportation problems. The addition of StreetLight accelerates Jacobs' strategy in growing its end-to-end digital solutions portfolio and focus on ESG, while adding high growth, highly recurring revenue software businesses that offer tremendous value for its clients and the communities they serve.","07 Feb, 2022"
ketchum,"OMC, missing",1,"Leading global communications consultancy Ketchum today announced the appointment of April Scott as managing director of digital, social and analytics integration for North America.  For more information on Ketchum, a part of Omnicom Public Relations Group, visit maintenance-ketchum-global.pantheonsite.io.
","21, Feb, 2019"
quest diagnostics,DGX,1,"Quest Diagnostics (NYSE: DGX)  and Inovalon (Nasdaq: INOV) today announced they will showcase Data Diagnostics™, real-time analytics at the point of care, at HIMSS16, furthering  the national roll-out of the solution. Based on one of healthcare's largest datasets and integrated with nearly 600 electronic health record (EHR) platforms, Data Diagnostics provides patient-specific analyses that help the physician align clinical management with quality, utilization, risk, and financial performance goals, supporting value-based healthcare. Data Diagnostics is part of the new Quanum™ brand of Quest Diagnostics healthcare information technology solutions.","24 Feb, 2016"
black knight inc.,BKI,1,"Today, Black Knight, Inc. (NYSE:BKI), an award-winning software, data and analytics company driving innovation in the mortgage and real estate industries, announced that its extensive, highly predictive Optimal Blue PPE mortgage rate lock data is now available within the company's Rapid Analytics Platform (RAP). Clients using RAP can now subscribe to have direct access to the earliest and most comprehensive source of rate lock information in the industry and can leverage this data for a variety of critical use cases.","11 Feb, 2021"
renren inc.,"RENN, missing",1,"Renren Games, the online game subsidiary of China's leading real-name social network Renren Inc. (NYSE:RENN) and Flurry Inc. today announced a broad partnership to offer Flurry's industry-leading analytics and monetization platform to China's mobile game developers.","23, July, 2013"
pnc bank,"AMBKWm, should be PNC",1,"PNC Healthcare, part of PNC Bank, National Association, announced today the addition of business intelligence and data analytics to its suite of products and services designed to meet the unique needs of its healthcare clients. PNC's new web-based solution is powered by Precision.BI, a proprietary analytics engine from Origin Healthcare Solutions, and delivered to healthcare customers via PNC's secure online banking platform for commercial customers. ","13 Feb, 2012"
encompass health corp.,"AXLA, should be EHC",1,"Encompass Health Corp. (NYSE: EHC) today announced it will host a webcast to discuss the Company's innovative use of predictive analytics on Wednesday, March 10, 2021 at 1 p.m. CT.","17 Feb, 2021"
3m,"MMM, missing",1,"3M Health Information Systems has introduced a new technology platform that allows health care providers and payers to prioritize care and allocate resources for high-risk individuals and patient populations. 3M™ Social Determinants of Health Analytics (3M SDoH) combines clinical, social and population health data to create a complete picture of patient health. The new platform builds on the power of 3M™ Clinical Risk Groups (3M CRGs), a population classification system, and includes social risk intelligence from Socially Determined, a social risk analytics company, to promote program design and management in collaboration with community-based organizations.","01 Apr, 2021"
flotek industries inc.,FTK,1,"Flotek Industries, Inc. (""Flotek"" or the ""Company"") (NYSE: FTK) announced today it has acquired 100% ownership of JP3 Measurement, LLC (""JP3""), a privately held leading data and analytics technology company, in a cash-and-stock transaction. The transaction is valued at approximately $34.4 million, comprised of $25 million in cash and 11.5 million shares in Flotek common stock, with the assumption of $1.3MM of debt and an additional $5 million earn-out based on appreciation of Flotek's share price.","18 May, 2020"
networknewswire,"BDX, should be SRAZ",1,"A recent press release from SRAX, Inc. (NASDAQ: SRAX) (SRAX Profile) is a prime example of such gravity-defying action and may be a harbinger of what's to come. Leveraging in-depth investor intelligence and big data analytics, SRAX uses proprietary technology to creatively unlock and utilize data in new powerful ways to create a new nexus of opportunity between public companies, financiers, investors and traders. SRAX just released news on Sequire, the company's innovative technology platform for comprehensive investor intelligence, corporate communications and shareholder retention and acquisition. From launch just over a year ago, Sequire has grown its client base to over 75 publicly traded companies, amassing an aggregate 500,000+ active investors and traders  as sales have exploded in Q2 2020.  ",30-Jun-20
ametek inc.,AME,1,"AMETEK, Inc. (NYSE: AME) today announced the appointment of Daniel J. Skinner as Vice President and General Manager, AMETEK Process & Analytical Instruments (P&AI) division. Mr. Skinner currently serves as Divisional Vice President and Business Unit Manager for our Energy & Process Instrumentation business. Dan will be replacing Jim Davis who will assume leadership of AMETEK's Measurement, Communications & Testing (MC&T) division.","06 Dec, 2021"
atos,"VZ, missing",1,"Verizon Business y Atos anuncian hoy una alianza líder en la industria para impulsar soluciones IoT inteligentes con computación periférica privada de acceso múltiple 5G para empresas, gobiernos y comunidades de todo el mundo. La solución periférica 5G transformará la forma en que las empresas pueden aprovechar la analítica predictiva, permitiéndoles mejorar la eficiencia operativa, mitigar el riesgo y aumentar los ingresos.","26 Jan, 2022"
