edit_sim:analytic,edit_sim:innovation,edit_sim:technology,edit_sim_sent:analytic,edit_sim_sent:innovation,edit_sim_sent:technology,company,haskey:analytic,haskey:innovation,haskey:technology,tic,groundtruth:analytics,example_sent:analytics,start_year:analytics,Notes:analytics,Actuall User
1,1,1,trimble adds analytic tool for determining field profitability in its connected farm solution and introduces new field record keeping app,trimble duo marks the latest innovation for in cab connectivity for transportation,trimble and campus sursee establish trimble technology lab,trimble,1,1,1,TRMB,1,trimble adds analytic tool for determining field profitability in its connected farm solution and introduces new field record keeping app,"20 Jan, 2015",,
1,0.5,0.4,heidrick  struggles introduces organizational network analytic,heidrick  struggles announces partnership with eightfold ai to drive the digital transformation of leadership and deliver new tech enabled leadership planning and development solutions,heidrick  struggles announces partnership with eightfold ai to drive the digital transformation of leadership and deliver new tech enabled leadership planning and development solutions,heidrick  struggles international inc.,1,0,0,HSII,1,"SYNAPP uncovers the relationships that underpin an organization that are not apparent on an organizational chart. The digital application platform, developed as a proprietary solution by Heidrick & Struggles, provides a business with deep insights that can empower its people to strategically improve their performance through strengthening work relationships and improving collaboration.","11 Jul, 2017",Prescriptive analytics,
1,1,1,nielsen expands analytic relationship with general mills inc,capitalizing on innovation trends today will drive business growth in the new normal,nielsen advances shopper research with extreme reality and gaming technology,nielsen,1,1,1,NLSN,0,"""Through Nielsen Connect, we will be expanding General Mills' view into the consumer marketplace to provide a deeper understanding of their core consumer needs, propel faster data-driven decisions to foster a more nimble operating environment and generate a prime environment for General Mills to make more meaningful connections between their consumers and brands,"" said Laura McCullough, Executive Vice President of U.S. Manufacturer Client Success, Nielsen.","14 Nov, 2019",NLSN is the provider,GIS
1,1,1,choice hotels promotes sarah searls to vice president business  analytic services,choice hotels sets no limits to hotel growth innovation and franchisee profitability at 64th annual convention,choice hotels promotes brian kirkland to chief technology officer,choice hotels international inc.,1,1,1,CHH,1,choice hotels promotes sarah searls to vice president business  analytic services,"15 Feb, 2012",,
1,1,1,grupo monge grows credit approvals 10 using fico analytic decisioning to extend loans to underserved consumers,fico continues to drive innovation with 13 new patents for ai machine learning fraud and decision management platform,absa bank helps distressed africans keep their homes during pandemic using fico collections technology,fico,1,1,1,,0,"Grupo Monge, one of the largest multinational retail companies in Central America, has used analytic decisioning to improve the way it evaluates and grants credit to its customers, especially those previously excluded from being able to access loans. By implementing FICO® Blaze Advisor® decision rules management system, Grupo Monge has expanded credit approvals by 10 percent, reduced expenses by 25 percent and reduced the time taken to assess the credit application by 30 percent.","11 May, 2021",,Grupo Monge (private)
1,1,1,alteryx introduces analytics hub and intelligence suite to accelerate analytic process automation,alteryx acquires clearstory data to accelerate innovation in data science and analytics,alteryx to present at the rbc global technology internet media and telecom conference,alteryx inc.,1,1,1,AYX,1,"today introduced new product innovations that deliver the ease-of-use and performance the platform is known for, including Alteryx Analytics Hub, a new product to extend the power and value of the Alteryx APA Platform, and Alteryx Intelligence Suite, a new predictive modeling add-on for Alteryx Designer. Both offerings help fuel rapid digital transformation by delivering on the promise of APA, transforming how businesses leverage their data assets, optimize their processes and upskill talent in a unified, human-centered platform.","16 Jun, 2020","AYX is a providor and launchced a more advanced analytic tool, it is more about innovation",
1,1,1,majority of companies predict significant impact from digital evolution yet unprepared for change required says study by harvard business review analytic services in association with genpact,genpact and envision virgin racing team up to enhance race performance and drive innovation in sustainable electric cars,genpact launches 24 hour melting point challenge leveraging technology to help fight climate change,genpact,1,1,1,G,0,"The new global study from Harvard Business Review Analytic Services in association with the Genpact Research Institute underscores that despite the promise, significant barriers remain to achieve digital transformation across the enterprise. This research demonstrates that even with financial investments, as well as the necessary technology talent and skills in place, much still stands in the way of achieving significant impact from digital:","30 Aug, 2016",,
1,1,1,amherst capital hires experienced sell side research team to support investment performance and enhance analytic capabilities,upprize names winners of social innovation challenge,bny mellon to bolster digital solutions capabilities with planned acquisition of fund management technology leader milestone group,bny mellon,1,1,1,LEO,1,"Amherst Capital Management LLC, a BNY Mellon investment boutique specializing in real estate, today announced a significant milestone in its analytic capabilities with the formation of its new Research and Analytics team based in the firm's New York office. Joining the firm are three sell-side research analysts with years of experience who will help bring even greater insights and opportunities to Amherst Capital's investors.","27 Jun, 2016",Extracted tic is wrong. It should be BK. Arherst is the subsidiry of BK,
0.888888889,0.6,1,aisensing announces ai based predictive maintenance solution based on quicklogic eos s3 platform and sensiml analytics toolkit,quicklogic to show how edge ai is powering next generation consumer devices at ces 2020,quicklogic to participate in the roth 10th annual technology virtual event,quicklogic corporation,1,0,1,QUIK,0,"QuickLogic Corporation (NASDAQ: QUIK), a developer of ultra-low power multi-core voice-enabled SoCs, embedded FPGA IP, and Endpoint AI solutions, today announced that its customer, aiSensing, has developed an AI-enabled Industrial IoT solution that can determine multiple fault modes for predictive maintenance applications.  This vibration sensor employs Artificial Intelligence/Machine Learning (AI/ML) techniques to intelligently monitor equipment status and identify and signal when different fault modes occur. The aiSensing solution is based on QuickLogic's QuickAI platform including the ultra-low power EOS™ S3 multi-core sensor processing SoC, QuickFeather development kit, and SensiML Analytics Toolkit for endpoint AI applications.","20 May, 2021",,
0.888888889,1,1,tp vision to transform service experience and performance with vonages contact center and speech analytics solutions,frost  sullivan recognizes vonage as leader in growth and innovation in 2021 cpaas radar,vonage to present on the future of communications technology at enterprise connect 2022,vonage,1,1,1,VG,0,"Vonage (Nasdaq: VG), a global business cloud communications leader, today announced that TP Vision Europe B.V. has selected its contact center and speech analytics solutions to better serve its customer-base by delivering exceptional experiences.","20 May, 2021,",VG is the provider,
