Company,related_paragraphs,Ticker,title
Berkshire Hathaway Inc,"Clayton Homes has implemented Verint Speech Analytics in 12 customer-facing departments across its organization. As an existing user of Verint Call Recording, it sought a complementary, best-in-breed solution that would allow it to extract intelligence from customer interactions and gain insight into the root cause of customer calls, identify strengths and weaknesses with products and internal processes, and enhance training and development for agents.",BRK.A,CLAYTON HOMES IMPLEMENTS SPEECH ANALYTICS SOFTWARE
J.P. Morgan Chase Bank ,"... S-PLUS daily to manage risk and build predictive models that optimize financial performance of the company's assets. S-PLUS offers cutting-edge analytics combined with a flexible, extensible programming language, allowing analysts to build ...
... meet changing market demands. S-PLUS provides Chase analysts with risk management tools for strategically managing in-field performance of retail, lease, balloon and floor ...
... financial products. ""We selected S-PLUS because it is the premium analytic tool for performing robust statistical analysis,"" said Dr. Timothy Lee, VP, Modeling ...
... way that reduces corporate risk and improves profitability. S-PLUS provides analytic tools that help us access, analyze and present information with confidence to ...
... financial services industry for delivering robust risk management and predictive modeling solutions that help companies optimize financial performance ,"" said Shawn Javid, president and CEO, of Insightful Corporation . ...
... About Insightful Insightful Corporation ( Nasdaq :IFUL) provides enterprises with scalable data analysis solutions that drive better decisions faster by revealing patterns, trends and relationships. The company is a ...
... and proven processes for the design, development and deployment of customized solutions. The company has been delivering industry-leading, high-ROI solutions for 16 years to thousands of companies in financial services, pharmaceuticals, ...",JPM,Chase Auto Finance Selects Insightful's S-PLUS; S-PLUS Improves Financial Product Performance by Reducing Risk and Improving Predictive Modeling
J.P. Morgan Chase Bank ,"... FINANCIAL NEWS JPMorganChase Implements INEA (R) Enterprise Analytics Application Suite; Recently merged global financial institution implements INEA to rapidly create one unified organizational structure and report integrated ...
... benefits of the merger very early on."" About JPMorganChase      JPMorganChase ( NYSE : JPM , www.jpmorganchase.com ) is a premier global financial services ...",JPM,"JPMorganChase Implements INEA(R) Enterprise Analytics Application Suite;
Recently merged global financial institution implements INEA to rapidly create one unified organizational structure and report integrated financial results"
Timken,"The Timken Company (NYSE:TKR) is moving its human resources (HR) system into the cloud to drive efficiency and improve productivity across its global workforce. The new system, implemented by Accenture (NYSE:ACN), is based on HR cloud solutions from SuccessFactors, an SAP company. It allows Timken to manage its workforce with a single set of global processes and clear global governance at a significantly lower operating and maintenance cost.   ...     It looked to arm its HR department with a complete, end-to-end solution that brings together employee and company data, offers integrated reporting capabilities and provides advanced analytics for better business insight.",TKR,"Timken Drives Global Workforce Efficiency and Productivity with Accenture and SAP; Company Implements HR Cloud Solutions from SuccessFactors for Payroll, Performance and Goals, Learning, Workforce Planning and Workforce Analytics"
Meredith Corporation,"Customer lifecycle analytics from leading vendor KXEN are helping improve magazine circulation and maintain database marketing revenues at multi-media giant, Meredith Corporation (NYSE: MDP).

Since deploying KXEN's software, Meredith is getting a significant direct financial benefit, is seeing performance improvements and better than 30% time savings in analytics, and has cut what was a 20-hour implementation process down to just two hours.

""We'd previously been doing our own analytic programming but with KXEN we're doing more models, in less time and getting better results,"" says Meredith's director of business intelligence, Kelly Tagtow. ""KXEN allows us to run our analytics directly in the database which is much faster, more efficient and there are fewer errors. Those are the big wins for us in email marketing.

""If KXEN had performed at least as well as before but with a 30% time saving, that would have been fine but in reality we got even better than that.""""Accurate analysis of customer data is critical to generating circulation revenue and maintaining database marketing revenue in these challenging economic times,"" he says. ""Because of KXEN's unique combination of analytic sophistication, ease of use, and integration into our technology infrastructure, every product manager benefits by improving circulation and database marketing efficiency.""

Deploying KXEN's software has also enabled Meredith to react more quickly to changing business conditions. The results of the KXEN analyses drive direct mail and email campaigns - channels both vital to attracting new subscribers. The improved productivity and scope of KXEN means Meredith is now able to promote more titles, more regularly, with campaigns that are better targeted and better informed.",MDP,$1.4Bn Multi-Media Corporation Boosts Revenues with KXEN Analytics
Cigma,"Prior to QBE, Papush held senior leadership positions focused on enterprise data and analytics implementation at Citigroup , Fulcrum Analytics and GE Capital. ""I look forward to being part of the …",CI,Cigna Names Global Chief Data and Analytics Officer
Winn-Dixie,"Winn-Dixie Stores Inc. (NASDAQ: WINN), one of the United States' largest grocery retailers, has begun a strategic multi-year agreement with SAS to improve the technology behind its marketing and merchandising operations. This unique relationship will allow Winn-Dixie to implement a variety of SAS software products over a five-year period to help increase profitable sales. SAS, the leader in   business analytics software and services, will begin its work with Winn-Dixie by implementing key portions of the   SAS® Merchandise Intelligence suite including SAS® Merchandise Financial Planning, SAS® Revenue Optimization, SAS® Merchandise Assortment Planning, and SAS® Retail Space Management. Winn-Dixie also will use   SAS® Customer Intelligence software including SAS® Campaign Management, SAS® Marketing Automation, SAS® Marketing Optimization and SAS® Customer Insight for Retail to address marketing operations and customer insights.

""We chose SAS because of their strong commitment to retail and analytical excellence,"" said Maura Hart, Winn-Dixie's Chief Information Officer. ""This partnership will enhance our customers' shopping experience with the implementation of SAS' technology and resources to provide improvements in pricing, assortment and category management.""",WINN,"Winn-Dixie selects SAS® for long-term strategic analytics agreement; U.S. grocery chain picks SAS to improve pricing, assortments and margin"
Joy global,"IBM INSIGHT 2014, Las Vegas NV - IBM (NYSE: IBM ) and Joy Global, a worldwide leader in high-productivity mining solutions, today announced that Joy Global selected IBM Big Data and Analytics technology -- including IBM's advanced predictive analytics software and optimization solutions -- to enhance the ability of Joy Global Smart Services to improve mining machine performance, while reducing downtime and costs.  ...   Joy Global Smart Services deliver mining customers real-time analytics that predict machine failures and recommend preventative actions for individual Smart Services customers. The cloud-based, mobile-enabled, IBM solution will allow Joy Global to take Smart Services from the individual customer level to the worldwide fleet level -- giving Joy Global the ability to analyze big data from all Smart Services-connected Joy Global mining machines.  Joy Global and IBM expect that the ability to analyze and compare operating data from Joy Global's worldwide fleet of installed machines will enable Joy Global to more quickly identify anomalies in machine performance, leading to continuous improvement of its mining machine products. Joy Global customers will benefit from improved machine availability, utilization and productivity, as well as lower operating costs.",JOY,IBM Helps Joy Global Mine Big Data to Better Serve Customers; Joy Global Selects IBM Big Data and Analytics to Enhance Smart Services
Hertz,"The world's leading car rental brand selected the new Teradata 6650 and a Teradata Data Warehouse Appliance used for a data analytics test system. Hertz is also implementing Teradata products for backup and recovery, the logical data model for travel companies, which encompasses five Teradata products: Decision Experts, Profiler, Professional Services, Advanced Analytics Support and Managed Services.

Over the course of the next 30 months, Hertz plans on developing an analytical and operational global data warehouse in order to support customer relations, fleet operations, corporate analytics, and pricing/yield management.  ""Specifically, Hertz was looking for ways to accelerate complex query processing, cut through the complexity of information management and move to a much more pro-active, effective analytical environment,"" said Tony Palladino, Teradata Industry Vice President. ""Teradata was able to provide Hertz with the complete package of query performance, user concurrency, rich functionality, and relevant experience.""
",HTZ,"Car Rental Leader Hertz Puts Teradata in the Driver's Seat; Teradata to improve database analytics, business insight, scale up as data volumes grow"
MedStar Montgomery Medical Center ,"SAN JOSE, Calif., Sept. 22, 2016 (GLOBE NEWSWIRE) -- Vocera Communications, Inc. (NYSE:VCRA), the leading healthcare communications company, today announced that long-time customer MedStar Montgomery Medical Center has once again improved patient care with the launch of a fall prevention program. The innovative new initiative combines prescriptive analytics using the hospital's clinical data with the Vocera Communication System, an intelligent software platform enabling real-time alerts and notifications, secure texting, hands-free communication, and integration with more than 75 clinical systems including electronic health records, nurse call and bed management solutions. The program is supported by analyticsMD's prescriptive analytics solution.

For more than 13 years, MedStar Montgomery Medical Center has been a Vocera customer, initially implementing the Vocera Communication System enterprise-wide to reduce noise levels. That objective was quickly met; and over the years, the hospital has leveraged Vocera technology in many other ways to improve patient experience and workflow efficiency. Equipping environmental services staff with wearable, voice-controlled communication devices helped improve room turnover rates, and integration between the bed tracking system and the Vocera solution significantly improved patient wait times and throughput in the emergency department. In 2012, the hospital integrated its nurse call solution with the Vocera system, connecting patients quickly to their caregivers and reducing staff response time",VCRA,Vocera Integration with Prescriptive Analytics Reduces Patient Falls; MedStar Montgomery Medical Center Improves Patient Safety and Experience
